# Vocabulaire des themes appris sur le corpus (corpus.ApprendreThemes) : ne pas modifier a la main.
# langue	theme	racine	poids
en	langues_traduction	activ	1.78
en	sport_nutrition	activat	1.45
en	donnees_ia	activati	2.84
en	informatique_materiel	activati	1.42
en	sante	activati	1.42
en	sciences	activati	1.14
en	sport_nutrition	activati	1.34
en	education	actively	1.44
en	emploi_carriere	actively	1.70
en	programmation	activesheet	4.55
en	histoire_societe	activist	3.36
en	education	activiti	1.60
en	voyage	activiti	1.16
en	images_ia	activity	2.10
en	sante	activity	1.02
en	cinema_series	actor	2.00
en	relations_psychologie	actor	1.88
en	fiction	actres	3.37
en	relations_psychologie	actress	3.91
en	philosophie_religion	actual	1.35
en	fiction	actually	2.72
en	sante	acut	5.35
en	donnees_ia	adam	2.60
en	donnees_ia	adaptiv	2.78
en	informatique_materiel	adb	4.05
en	programmation	add	1.19
en	images_ia	added	2.51
en	programmation	addeventlisten	2.20
en	web	addeventlisten	2.62
en	redaction_pro	additional	1.47
en	redaction_pro	additionally	1.16
en	sante	additionally	1.10
en	programmation	addr	3.49
en	redaction_pro	addres	2.22
en	redaction_pro	address	1.82
en	sante	address	1.10
en	sante	adequat	2.54
en	droit	adher	2.23
en	images_ia	adida	4.33
en	images_ia	adjectiv	1.77
en	langues_traduction	adjectiv	2.54
en	images_ia	adjective1	6.40
en	redaction_pro	adjustment	1.85
en	emploi_carriere	admin	1.13
en	programmation	admin	1.78
en	redaction_pro	admin	1.01
en	web	admin	1.27
en	sante	administer	3.15
en	droit	administrati	2.30
en	education	administrati	1.09
en	emploi_carriere	administrati	1.57
en	histoire_societe	administrati	1.91
en	sante	administrati	1.68
en	droit	administrativ	3.03
en	emploi_carriere	administrativ	2.42
en	emploi_carriere	administrator	2.98
en	fiction	admir	4.13
en	education	admissi	2.66
en	droit	admitt	2.01
en	sante	admitt	2.51
en	histoire_societe	adopt	1.23
en	sante	adopti	2.14
en	fiction	ador	4.62
en	marketing_business	ads	3.42
en	sciences	adsorpti	4.71
en	sante	adult	1.41
en	sciences	advancement	1.51
en	marketing_business	advantag	1.07
en	fiction	adventur	2.62
en	fiction	adventurou	4.29
en	langues_traduction	adverb	4.61
en	sante	advers	4.28
en	marketing_business	advertis	3.04
en	droit	advertisement	1.79
en	marketing_business	advertisement	1.80
en	droit	advic	1.44
en	droit	advis	1.97
en	redaction_pro	advis	2.47
en	finance	advisor	2.47
en	programmation	aes	3.81
en	images_ia	aesthetic	3.28
en	philosophie_religion	aesthetic	1.15
en	droit	affair	1.55
en	histoire_societe	affair	1.75
en	sante	affect	1.72
en	fiction	affecti	4.22
en	droit	affidavit	6.61
en	marketing_business	affiliat	4.11
en	histoire_societe	afghanistan	3.13
en	fiction	afraid	3.31
en	emploi_carriere	africa	1.16
en	histoire_societe	africa	3.45
en	histoire_societe	african	2.89
en	philosophie_religion	afterlif	4.63
en	redaction_pro	afterno	2.13
en	redaction_pro	again	1.10
en	droit	against	1.48
en	sante	aged	1.07
en	marketing_business	agency	1.82
en	voyage	agency	1.50
en	sante	agent	1.22
en	finance	aggregat	2.84
en	philosophie_religion	agnostic	4.33
en	fiction	ago	2.45
en	droit	agre	1.79
en	droit	agreement	3.73
en	redaction_pro	agreement	1.52
en	histoire_societe	agricultur	1.75
en	histoire_societe	agricultural	2.56
en	redaction_pro	ahead	1.07
en	redaction_pro	ahmad	4.41
en	fiction	aiabama	5.90
en	droit	aid	1.24
en	histoire_societe	aid	1.13
